"Latitude","Longitude","Unique_Squirrel_ID","Shift","Date","Age","Primary_Fur_Color","Location","Specific_Location","Running","Chasing","Climbing","Eating","Foraging","Other_Activities","Kuks","Quaas","Moans","Tail_flags","Tail_twitches","Approaches","Indifferent","Runs_from"
"40.7940823884086","-73.9561344937861","37F-PM-1014-03","PM","2018-10-14","","","","","False","False","False","False","False","","False","False","False","False","False","False","False","False"
"40.7948509408039","-73.9570437717691","37E-PM-1006-03","PM","2018-10-06","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","False","True"
"40.7667178072558","-73.9768311751004","2E-AM-1010-03","AM","2018-10-10","Adult","Cinnamon","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","True","False"
"40.7697032606755","-73.9757249834141","5D-PM-1018-05","PM","2018-10-18","Juvenile","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","True"
"40.7975333701630","-73.9593126695714","39B-AM-1018-01","AM","2018-10-18","","","Above Ground","","False","False","False","False","False","unknown","True","False","False","False","False","False","False","False"
"40.7902561000937","-73.9565700386162","33H-AM-1019-02","AM","2018-10-19","Juvenile","Gray","Ground Plane","","False","False","False","False","False","wrestling with mother","False","False","False","False","False","False","False","False"
"40.7693045133578","-73.9719735582476","6G-PM-1020-02","PM","2018-10-20","Adult","Gray","Ground Plane","","True","True","False","False","False","","False","False","False","False","False","False","True","False"
"40.7942883045566","-73.9602609920814","35C-PM-1013-03","PM","2018-10-13","","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","True"
"40.7729752391435","-73.9770718586754","7B-AM-1008-09","AM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"40.7903128889029","-73.9596413903948","32E-PM-1017-14","PM","2018-10-17","Adult","Gray","","","False","False","False","True","True","","False","False","False","False","False","False","False","True"
"40.7762126854894","-73.9702676472613","13E-AM-1017-05","AM","2018-10-17","Adult","Gray","Above Ground","on tree stump","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"40.7725908847499","-73.9683613516225","11H-AM-1010-03","AM","2018-10-10","Adult","Cinnamon","","","False","False","False","False","True","","False","False","False","False","True","False","True","False"
"40.7931811701082","-73.9541201789795","36H-AM-1010-02","AM","2018-10-10","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"40.7917367820255","-73.9582694312289","33F-AM-1008-02","AM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"40.7829723919744","-73.9674285955293","21C-PM-1006-01","PM","2018-10-06","Adult","Gray","Ground Plane","","False","False","False","False","False","","False","False","False","True","True","False","False","False"
"40.7742879599026","-73.9722500196844","11D-AM-1010-03","AM","2018-10-10","Adult","Gray","Above Ground","","False","False","True","False","False","grooming","False","False","False","False","False","False","True","False"
"40.7823507678183","-73.9695063535333","20B-PM-1013-05","PM","2018-10-13","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"40.7919669739962","-73.9532170504865","36I-PM-1007-01","PM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"40.7702795904962","-73.9768603630674","5C-PM-1010-09","PM","2018-10-10","Adult","Cinnamon","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","False","False"
"40.7698124821507","-73.9706105896967","7H-AM-1006-05","AM","2018-10-06","Adult","Gray","Above Ground","","False","True","False","False","False","","False","False","False","False","False","False","True","False"
